term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,sample,outcome,treatment,diff_n,n_states,year_span,inference_standard
d3_l1_disp_top10_share_z,1.3452251835343785,0.94235722462088,1.4275108720852396,0.15977497529765777,-0.5485125595935787,3.2389629266623357,long_diff_3y,149,baseline,exclude_dc,fair_poor_health_rate,l1_disp_top10_share_z,3,50,2012-2019,conventional_clustered
d3_l1_disp_top10_share_z,0.044554130401334754,1.8558310772584057,0.024007643231815028,0.9809440156611319,-3.684878046752038,3.7739863075547078,long_diff_3y,50,baseline,late_period,fair_poor_health_rate,l1_disp_top10_share_z,3,51,2016-2019,conventional_clustered
d3_l1_disp_top10_share_z,1.7090431051113693,1.1178318339262618,1.5288910668329623,0.135031545739645,-0.5580249313794576,3.976111141602196,long_diff_3y,111,baseline,exclude_top_ineq_states,fair_poor_health_rate,l1_disp_top10_share_z,3,38,2012-2019,conventional_clustered
l1_disp_top10_share_z,0.19124273683647372,0.80370191972267,0.2379523205599223,0.8128905193418117,-1.423040077435369,1.8055255511083166,dynamic_fe,304,rich,full,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,51,2012-2019,conventional_clustered
l1_disp_top10_share_z,0.4348099093002977,0.8114929416777384,0.5358147766526973,0.594510529050839,-1.1959462114004478,2.065566030001043,dynamic_fe,298,rich,exclude_dc,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,50,2012-2019,conventional_clustered
l1_disp_top10_share_z,-0.012344863083243385,1.4104645148951491,-0.008752338646506874,0.9930522708071384,-2.8467794250660408,2.8220896988995543,dynamic_fe,100,rich,early_period,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,51,2012-2015,conventional_clustered
l1_disp_top10_share_z,0.46645711446939053,1.2769112211303215,0.3653011319428165,0.7164274462742937,-2.098294554075626,3.031208783014407,dynamic_fe,152,rich,late_period,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,51,2016-2019,conventional_clustered
l1_disp_top10_share_z,0.27037619588930956,0.794609972302274,0.34026277710299985,0.7356361893553831,-1.3411675220561745,1.8819199138347937,dynamic_fe,222,rich,exclude_top_ineq_states,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,38,2012-2019,conventional_clustered
d2_l1_disp_top10_share_z,-0.7147459898172984,0.9091958112830898,-0.7861298753770359,0.4355013366559358,-2.540919521253792,1.1114275416191952,long_diff_2y,202,rich,full,frequent_mental_distress_rate,l1_disp_top10_share_z,2,51,2012-2019,conventional_clustered
d2_l1_disp_top10_share_z,-0.3531009443080088,0.920968198062204,-0.3834018862442411,0.7030802670633409,-2.2038558293173507,1.4976539407013332,long_diff_2y,198,rich,exclude_dc,frequent_mental_distress_rate,l1_disp_top10_share_z,2,50,2012-2019,conventional_clustered
d2_l1_disp_top10_share_z,0.00836603011918366,1.2272570886206855,0.00681685214675455,0.9945881072989783,-2.456652378120145,2.4733844383585124,long_diff_2y,101,rich,late_period,frequent_mental_distress_rate,l1_disp_top10_share_z,2,51,2016-2019,conventional_clustered
d2_l1_disp_top10_share_z,-0.508654528222155,1.05562828733234,-0.4818500359701113,0.6328289918295467,-2.649567925026141,1.6322588685818311,long_diff_2y,148,rich,exclude_top_ineq_states,frequent_mental_distress_rate,l1_disp_top10_share_z,2,38,2012-2019,conventional_clustered
