term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,outcome,treatment,control_count,diff_n
d2_l1_disp_top10_share_z,-0.554449514218712,0.8086272919669376,-0.6856675748230643,0.49608978010419336,-2.178625229792267,1.0697262013548428,long_diff_2y,203,baseline,frequent_mental_distress_rate,l1_disp_top10_share_z,8,2
d3_l1_disp_top10_share_z,-0.570926607513297,0.8200414419740829,-0.6962167742875377,0.48951699884730593,-2.2180283180905884,1.0761751030639943,long_diff_3y,152,baseline,frequent_mental_distress_rate,l1_disp_top10_share_z,8,3
d2_l1_disp_top10_share_z,0.9784731049352724,1.3668476452485532,0.7158611337091215,0.4774071385065808,-1.766921187782177,3.7238673976527217,long_diff_2y,203,baseline,fair_poor_health_rate,l1_disp_top10_share_z,8,2
d3_l1_disp_top10_share_z,0.7406090456988372,0.9808706955006578,0.7550526782949859,0.45375943314556466,-1.2295277275416194,2.710745818939294,long_diff_3y,152,baseline,fair_poor_health_rate,l1_disp_top10_share_z,8,3
d2_l1_acs_gini_z,-0.00108648183714483,0.0029421415092295367,-0.3692826581374561,0.7134763829255487,-0.006995946974597701,0.00482298330030804,long_diff_2y,203,baseline,frequent_mental_distress_rate,l1_acs_gini_z,8,2
d3_l1_acs_gini_z,-2.031550189925957e-4,0.0032288128700582847,-0.06291941563926201,0.9500815355459833,-0.006688416530416373,0.006282106492431182,long_diff_3y,152,baseline,frequent_mental_distress_rate,l1_acs_gini_z,8,3
d2_l1_acs_gini_z,0.0011795019074671133,0.0036051205227754105,0.32717405701573354,0.7449020888070934,-0.006061595768774896,0.008420599583709122,long_diff_2y,203,baseline,fair_poor_health_rate,l1_acs_gini_z,8,2
d3_l1_acs_gini_z,7.117140578355458e-4,0.004102332829182941,0.1734900817341282,0.8629666953564727,-0.0075280639270899445,0.008951492042761036,long_diff_3y,152,baseline,fair_poor_health_rate,l1_acs_gini_z,8,3
d2_l1_disp_mean_median_gap_z,-6.827698551935215e-4,0.0024794818503334065,-0.2753679584715299,0.784168369301302,-0.005662955718969139,0.004297416008582096,long_diff_2y,203,baseline,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,8,2
d3_l1_disp_mean_median_gap_z,-0.0010473074402717658,0.002406742230573752,-0.4351556336060528,0.6653220976525573,-0.005881391477968385,0.003786776597424853,long_diff_3y,152,baseline,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,8,3
d2_l1_disp_mean_median_gap_z,4.953261839474012e-4,0.002726425655062738,0.1816760281094124,0.8565715005397423,-0.004980860908994147,0.00597151327688895,long_diff_2y,203,baseline,fair_poor_health_rate,l1_disp_mean_median_gap_z,8,2
d3_l1_disp_mean_median_gap_z,0.0028484569895379707,0.0024328284127090143,1.1708417143838532,0.24721239539066003,-0.00203802268698635,0.007734936666062292,long_diff_3y,152,baseline,fair_poor_health_rate,l1_disp_mean_median_gap_z,8,3
d2_l1_disp_top10_share_z,-0.7147459898172984,0.9091958112830898,-0.7861298753770359,0.4355013366559358,-2.540919521253792,1.1114275416191952,long_diff_2y,202,rich,frequent_mental_distress_rate,l1_disp_top10_share_z,13,2
d3_l1_disp_top10_share_z,-0.7924558222756316,0.9167403480871764,-0.8644277781916433,0.3914812125196926,-2.633783001856553,1.04887135730529,long_diff_3y,151,rich,frequent_mental_distress_rate,l1_disp_top10_share_z,13,3
