term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,m1_p,m2_p,sargan_p,inference_standard,outcome,treatment,spec,control_set,gmm_variant,diagnostics_pass,retained
l1_disp_top10_share_z,0.11372810507441831,0.7703119179104679,0.14763903093037273,0.8826276503997696,-1.396055510892073,1.6235117210409096,difference_gmm_twoways,254,0.037274153014767754,0.3076352100942306,0.5883205177193614,pgmm_robust,frequent_mental_distress_rate,l1_disp_top10_share_z,baseline,causal_core,difference,TRUE,TRUE
l1_disp_top10_share_z,1.566427806262763,1.0963540045296423,1.4287609657017597,0.15307294833059631,-0.5823865569215985,3.7152421694471247,difference_gmm_twoways,254,0.011972569196188656,0.14900784269307515,0.28791936931714235,pgmm_robust,fair_poor_health_rate,l1_disp_top10_share_z,baseline,causal_core,difference,TRUE,TRUE
l1_disp_top10_share_z,0.23657925355394127,0.41518151691152033,0.5698212562876658,0.5687989369454123,-0.5771615666393457,1.0503200737472282,system_gmm_twoways,559,0.0051767116488951066,0.24021706928555428,0.0021194442325603983,pgmm_robust,frequent_mental_distress_rate,l1_disp_top10_share_z,baseline,causal_core,system,FALSE,FALSE
l1_disp_top10_share_z,0.7672044191783698,0.6826301060345958,1.1238947892806352,0.26105766213511045,-0.5707260034121957,2.105134841768935,system_gmm_twoways,559,0.006315237721549441,0.31415624203767545,4.925435456535319e-4,pgmm_robust,fair_poor_health_rate,l1_disp_top10_share_z,baseline,causal_core,system,FALSE,FALSE
