term,estimate,std.error,statistic,p.value,conf.low,conf.high,h,outcome,treatment,spec,weighted,weight_var,control_count,treatment_role
l1_disp_top10_share_z,3.4585650795110925e-4,6.41955151397255e-4,0.5387549382512644,0.5924466999781769,-9.435483609478708e-4,0.0016352613768500892,0,frequent_mental_distress_rate,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,6.958288497918496e-4,5.346304616980583e-4,1.301513661570655,0.1990478025340139,-3.7800803565842195e-4,0.0017696657352421212,1,frequent_mental_distress_rate,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,9.719888358369503e-4,7.308199375997872e-4,1.3299976996101501,0.18955436018128438,-4.959062091340114e-4,0.002439883880807912,2,frequent_mental_distress_rate,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,2.236115124533833,1.0773400313772301,2.075589005706276,0.0430953103991794,0.07221398768017773,4.4000162613874885,3,frequent_mental_distress_rate,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,9.939276112743117e-4,4.370238929975499e-4,2.2743095450844923,0.027272154780413695,1.1613928878833495e-4,0.0018717159337602884,0,fair_poor_health_rate,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,0.0016827897664917768,5.459795469942521e-4,3.0821479957554025,0.0033393977303966785,5.861575723558263e-4,0.0027794219606277273,1,fair_poor_health_rate,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,0.002196423396947371,8.404555551065933e-4,2.613372454500349,0.011812443192122633,5.083187334223201e-4,0.003884528060472422,2,fair_poor_health_rate,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,1.3090529530876691,1.153139882375076,1.1352074220097783,0.2617010660011552,-1.0070966651835893,3.6252025713589275,3,fair_poor_health_rate,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,-8.942855669967266e-4,7.578158238905527e-4,-1.1800829948437228,0.24355124007571705,-0.0024164034453662414,6.278323113727883e-4,0,log_real_pce_pc,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,-0.0011093322334147166,8.711495488245506e-4,-1.273411935885805,0.2087603343825491,-0.002859087597708734,6.404231308793009e-4,1,log_real_pce_pc,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,-0.0023149298191579236,0.0013506763724967343,-1.7139041344735753,0.09274025533616939,-0.0050278431546354405,3.979835163195932e-4,2,log_real_pce_pc,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,3.800825670246845,2.293545379946706,1.657183548003381,0.1037448761704346,-0.805895801661713,8.407547142155403,3,log_real_pce_pc,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,0.16765380198204552,0.08419969347714105,1.9911450393529164,0.051943120921259314,-0.0014662595875571394,0.3367738635516482,0,real_pce_pc_growth,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,0.17486403411151194,0.07490884735205029,2.3343575597913113,0.02363497736014043,0.024405186185586403,0.3253228820374375,1,real_pce_pc_growth,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
l1_disp_top10_share_z,185.0561620638968,102.09896757335595,1.812517466750463,0.0759125215246899,-20.01564959164736,390.127973719441,2,real_pce_pc_growth,l1_disp_top10_share_z,baseline,FALSE,NA,8,primary
