term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,outcome,treatment,control_count
l1_disp_top10_share_z,1.2693788279283877,0.7736883960760979,1.6406848472411821,0.10713958506359919,-0.28462004993688095,2.823377705793656,dynamic_fe_falsification,305,baseline,frequent_physical_distress_rate,l1_disp_top10_share_z,8
l1_disp_top10_share_z,26.614845653323695,20.15385760392709,1.3205831943626338,0.19265335022433105,-13.865368681025263,67.09505998767266,dynamic_fe_falsification,305,baseline,mean_bad_physical_days,l1_disp_top10_share_z,8
l1_acs_gini_z,0.0030240120587560404,0.0021535237201143666,1.4042158117466406,0.16643604765855036,-0.0013014676324047993,0.00734949174991688,dynamic_fe_falsification,305,baseline,frequent_physical_distress_rate,l1_acs_gini_z,8
l1_acs_gini_z,0.05183118711355068,0.060954610984575594,0.8503243032207428,0.3991984744190663,-0.07059975220407574,0.1742621264311771,dynamic_fe_falsification,305,baseline,mean_bad_physical_days,l1_acs_gini_z,8
l1_disp_mean_median_gap_z,0.0033508937411794713,0.0022175411659469285,1.5110852473165168,0.13706149754009217,-0.001103168774141777,0.00780495625650072,dynamic_fe_falsification,305,baseline,frequent_physical_distress_rate,l1_disp_mean_median_gap_z,8
l1_disp_mean_median_gap_z,0.06425271686250215,0.06458785639364986,0.9948111061450143,0.32461831349199943,-0.06547581062801865,0.19398124435302294,dynamic_fe_falsification,305,baseline,mean_bad_physical_days,l1_disp_mean_median_gap_z,8
l1_disp_top10_share_z,0.7124726476864274,0.8049860442428614,0.8850745336294016,0.38035311859377297,-0.9043894065915179,2.3293347019643726,dynamic_fe_falsification,304,rich,frequent_physical_distress_rate,l1_disp_top10_share_z,13
l1_disp_top10_share_z,13.453580778008135,20.761832447571955,0.6479958265717292,0.5199523500526315,-28.247786968471754,55.15494852448802,dynamic_fe_falsification,304,rich,mean_bad_physical_days,l1_disp_top10_share_z,13
l1_acs_gini_z,0.002226371161201278,0.0020065333872810623,1.1095609847878511,0.2724963713755485,-0.0018038697575565046,0.00625661207995906,dynamic_fe_falsification,304,rich,frequent_physical_distress_rate,l1_acs_gini_z,13
l1_acs_gini_z,0.03518191646943519,0.05714028031092681,0.6157113034446811,0.5408778431923392,-0.07958771421706853,0.14995154715593892,dynamic_fe_falsification,304,rich,mean_bad_physical_days,l1_acs_gini_z,13
l1_disp_mean_median_gap_z,0.001656481400682551,0.0023916146253929495,0.6926205347194622,0.4917522307692671,-0.003147217947783905,0.006460180749149007,dynamic_fe_falsification,304,rich,frequent_physical_distress_rate,l1_disp_mean_median_gap_z,13
l1_disp_mean_median_gap_z,0.026202947431523106,0.06799278998266461,0.3853783237635018,0.7015918246910694,-0.11036459044531124,0.16277048530835744,dynamic_fe_falsification,304,rich,mean_bad_physical_days,l1_disp_mean_median_gap_z,13
