term,estimate,std.error,statistic,p.value,conf.low,conf.high,spec,weighted,weight_var,control_count,outcome,treatment,treatment_role,model,n_obs
l1_disp_top10_share_z,2.503317581036788e-4,6.496542044883595e-4,0.3853307750094985,0.7016268245055519,-0.0010545371140359863,0.0015552006302433441,baseline,FALSE,NA,8,frequent_mental_distress_rate,l1_disp_top10_share_z,primary,baseline__frequent_mental_distress_rate__l1_disp_top10_share_z,455
l1_disp_top10_share_z,0.0011351084322038585,4.5077570068887725e-4,2.5181224952214176,0.01504561328062755,2.29698791071609e-4,0.002040518073336108,baseline,FALSE,NA,8,fair_poor_health_rate,l1_disp_top10_share_z,primary,baseline__fair_poor_health_rate__l1_disp_top10_share_z,455
l1_disp_top10_share_z,-0.003371718449645553,9.368153873875233e-4,-3.5991279552401365,7.318968654080791e-4,-0.005253367532338967,-0.0014900693669521391,baseline,FALSE,NA,8,log_real_pce_pc,l1_disp_top10_share_z,primary,baseline__log_real_pce_pc__l1_disp_top10_share_z,459
l1_disp_top10_share_z,0.006488969065687888,0.07722626306649835,0.08402541840073675,0.9333717464927556,-0.1486245453100178,0.16160248344139358,baseline,FALSE,NA,8,real_pce_pc_growth,l1_disp_top10_share_z,primary,baseline__real_pce_pc_growth__l1_disp_top10_share_z,459
l1_acs_gini_z,1.1646178483359676e-4,0.0015950379794131891,0.07301505439791646,0.9420854482355632,-0.0030872662828635494,0.0033201898525307433,baseline,FALSE,NA,8,frequent_mental_distress_rate,l1_acs_gini_z,alternative,baseline__frequent_mental_distress_rate__l1_acs_gini_z,455
l1_acs_gini_z,0.0013103760482949013,0.0016614641278542364,0.7886875354854868,0.43401837707773816,-0.0020267728651352686,0.004647524961725071,baseline,FALSE,NA,8,fair_poor_health_rate,l1_acs_gini_z,alternative,baseline__fair_poor_health_rate__l1_acs_gini_z,455
l1_acs_gini_z,0.002352245353439719,0.002681929900378083,0.8770719000180106,0.384642374211973,-0.003034569385980164,0.007739060092859603,baseline,FALSE,NA,8,log_real_pce_pc,l1_acs_gini_z,alternative,baseline__log_real_pce_pc__l1_acs_gini_z,459
l1_acs_gini_z,0.4506390649170248,0.23299055405884422,1.9341516515009067,0.058763981289751806,-0.01733623547127161,0.9186143653053213,baseline,FALSE,NA,8,real_pce_pc_growth,l1_acs_gini_z,alternative,baseline__real_pce_pc_growth__l1_acs_gini_z,459
l1_disp_mean_median_gap_z,-7.559896529596501e-4,0.0015286072370466924,-0.4945610845204692,0.6230761015115853,-0.0038262876477529514,0.002314308341833651,baseline,FALSE,NA,8,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,alternative,baseline__frequent_mental_distress_rate__l1_disp_mean_median_gap_z,455
l1_disp_mean_median_gap_z,0.0026429019210804094,0.0014358899691481715,1.840601980560033,0.07161800236476262,-2.4116796042623076e-4,0.005526971802587049,baseline,FALSE,NA,8,fair_poor_health_rate,l1_disp_mean_median_gap_z,alternative,baseline__fair_poor_health_rate__l1_disp_mean_median_gap_z,455
l1_disp_mean_median_gap_z,-0.007359540414978837,0.002930688314416733,-2.5111986077726374,0.015309409504931263,-0.013246001133627786,-0.0014730796963298891,baseline,FALSE,NA,8,log_real_pce_pc,l1_disp_mean_median_gap_z,alternative,baseline__log_real_pce_pc__l1_disp_mean_median_gap_z,459
l1_disp_mean_median_gap_z,0.045929614858457056,0.1916605851449899,0.2396403768866281,0.8115887542357468,-0.33903199986507615,0.4308912295819902,baseline,FALSE,NA,8,real_pce_pc_growth,l1_disp_mean_median_gap_z,alternative,baseline__real_pce_pc_growth__l1_disp_mean_median_gap_z,459
