term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,cr2_se,cr2_t,cr2_df,cr2_p,inference_standard,spec,outcome,treatment,control_set,diff_n
l1_disp_top10_share_z,0.2740899246431807,0.7073342544054357,0.3874970326067025,0.7000329428209389,-1.1466327373438547,1.6948125866302162,dynamic_fe,305,13.65414456489472,0.02007375294296176,1.0000080293809634,0.987222348236116,CR2_Satterthwaite,baseline,frequent_mental_distress_rate,l1_disp_top10_share_z,causal_core,NA
l1_disp_top10_share_z,1.343010391978818,0.9126337824899114,1.471576461167943,0.1474017099110371,-0.49006850785227707,3.1760892918099133,dynamic_fe,305,20.819868645460065,0.06450618948893666,1.0000075775314443,0.9589908414013475,CR2_Satterthwaite,baseline,fair_poor_health_rate,l1_disp_top10_share_z,causal_core,NA
l1_disp_top10_share_z,0.19124273683647372,0.80370191972267,0.2379523205599223,0.8128905193418117,-1.423040077435369,1.8055255511083166,dynamic_fe,304,19.78599249867852,0.009665561980236602,1.0000047709125333,0.9938468980708722,CR2_Satterthwaite,rich,frequent_mental_distress_rate,l1_disp_top10_share_z,rich,NA
l1_disp_top10_share_z,0.605550050308378,0.9754771451539984,0.6207731809162786,0.5375684887799431,-1.3537534582367217,2.564853558853478,dynamic_fe,304,28.23373007879853,0.021447752338012962,1.0000045442886263,0.9863480178745385,CR2_Satterthwaite,rich,fair_poor_health_rate,l1_disp_top10_share_z,rich,NA
d2_l1_disp_top10_share_z,-1.324465124859757,0.7638866311426218,-1.733850378921571,0.08910740174273928,-2.858776578453223,0.20984632873370868,long_diff_2y,203,1.157880680730799,-1.1438701300584941,1.8555604131145054,0.3788633352775149,CR2_Satterthwaite,baseline,frequent_mental_distress_rate,l1_disp_top10_share_z,causal_core,2
d3_l1_disp_top10_share_z,0.1515613293763567,0.844731584352873,0.1794195128769382,0.8583334329298734,-1.5451319916549187,1.848254650407632,long_diff_3y,152,1.2322328219957666,0.12299731566221614,1.3436433056080839,0.9179145421502184,CR2_Satterthwaite,baseline,fair_poor_health_rate,l1_disp_top10_share_z,causal_core,3
d2_l1_disp_top10_share_z,-1.2540594951902782,0.8616353622245391,-1.4554410719084145,0.15179745924682359,-2.9847050532946158,0.47658606291405925,long_diff_2y,202,1.2713576156592812,-0.9863939773861088,1.8412192834104426,0.43548866241170203,CR2_Satterthwaite,rich,frequent_mental_distress_rate,l1_disp_top10_share_z,rich,2
d3_l1_disp_top10_share_z,-0.2316432473871671,0.9217548758137617,-0.2513067773931364,0.8026069226699067,-2.0830424023262033,1.619755907551869,long_diff_3y,151,1.3010066272640726,-0.17804924474081804,1.274888102161112,0.8827478926401963,CR2_Satterthwaite,rich,fair_poor_health_rate,l1_disp_top10_share_z,rich,3
