term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,outcome,treatment,control_count
l1_disp_mean_median_gap_z,0.5234164618053966,0.23981459576024053,2.1825880119852785,0.0337901305307732,0.04173467027640504,1.0050982533343882,dynamic_fe_hard_falsification,306,baseline,suicide_age_adjusted_rate,l1_disp_mean_median_gap_z,8
l1_acs_gini_z,1.0019764703523213,0.46075507029976626,2.1746401395006627,0.03441487131630343,0.07652267545509928,1.9274302652495432,dynamic_fe_hard_falsification,306,baseline,suicide_age_adjusted_rate,l1_acs_gini_z,8
l1_acs_gini_z,0.9192006604736797,0.48596637392629766,1.891490254865014,0.06435845204227991,-0.05689152805055109,1.8952928489979104,dynamic_fe_hard_falsification,305,rich,suicide_age_adjusted_rate,l1_acs_gini_z,13
l1_disp_mean_median_gap_z,0.3550752076141989,0.24739237875214917,1.4352714073295367,0.15743611398187374,-0.1418270089927129,0.8519774242211107,dynamic_fe_hard_falsification,305,rich,suicide_age_adjusted_rate,l1_disp_mean_median_gap_z,13
l1_disp_mean_median_gap_z,0.8363545133267832,0.6729784754106035,1.2427656216144198,0.2197509002952979,-0.5153625357068622,2.1880715623604288,dynamic_fe_hard_falsification,305,rich,drug_poisoning_age_adjusted_rate,l1_disp_mean_median_gap_z,13
l1_acs_gini_z,0.7875038137020649,1.0317733459552685,0.7632527209480817,0.4488990918064677,-1.2848739419390798,2.8598815693432096,dynamic_fe_hard_falsification,305,rich,drug_poisoning_age_adjusted_rate,l1_acs_gini_z,13
l1_disp_top10_share_z,-51.92153912308588,96.464688932875,-0.5382439905986273,0.5927967278091225,-245.67656907517735,141.8334908290056,dynamic_fe_hard_falsification,305,rich,suicide_age_adjusted_rate,l1_disp_top10_share_z,13
l1_disp_mean_median_gap_z,0.27942488635742724,0.6456998071705942,0.4327473591510661,0.6670592715492224,-1.0175013450167736,1.5763511177316285,dynamic_fe_hard_falsification,306,baseline,drug_poisoning_age_adjusted_rate,l1_disp_mean_median_gap_z,8
l1_acs_gini_z,0.39789285132475816,1.0653283732232708,0.3734931513378252,0.7103604107513165,-1.7418821600923222,2.5376678627418388,dynamic_fe_hard_falsification,306,baseline,drug_poisoning_age_adjusted_rate,l1_acs_gini_z,8
l1_disp_top10_share_z,-42.31495361845919,224.5981569490254,-0.1884029423628038,0.8513233935652245,-493.4336283194609,408.80372108254255,dynamic_fe_hard_falsification,306,baseline,drug_poisoning_age_adjusted_rate,l1_disp_top10_share_z,8
l1_disp_top10_share_z,13.670822896328287,93.8304426162884,0.1456970948355637,0.8847463077859559,-174.79316761306532,202.13481340572187,dynamic_fe_hard_falsification,306,baseline,suicide_age_adjusted_rate,l1_disp_top10_share_z,8
l1_disp_top10_share_z,9.475484730082837,224.63785149179407,0.04218115810473273,0.9665222788009644,-441.7229188064976,460.67388826666325,dynamic_fe_hard_falsification,305,rich,drug_poisoning_age_adjusted_rate,l1_disp_top10_share_z,13
