term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,family,spec,outcome,treatment,control_count
l1_disp_top10_share_z,1.2693788279283877,0.7736883960760979,1.6406848472411821,0.10713958506359919,-0.28462004993688095,2.823377705793656,dynamic_fe_extension,305,secondary_wellbeing,baseline,frequent_physical_distress_rate,l1_disp_top10_share_z,8
l1_disp_top10_share_z,26.614845653323695,20.15385760392709,1.3205831943626338,0.19265335022433105,-13.865368681025263,67.09505998767266,dynamic_fe_extension,305,secondary_wellbeing,baseline,mean_bad_physical_days,l1_disp_top10_share_z,8
l1_disp_top10_share_z,0.9109032192328763,2.0171156514431,0.451587006714856,0.6535193288992123,-3.140592802634224,4.962399241099977,dynamic_fe_extension,306,material_wellbeing,baseline,log_rpp_adj_median_hh_income,l1_disp_top10_share_z,8
l1_disp_top10_share_z,0.018007661697170947,0.4003463266135751,0.0449802096337265,0.9643022489192585,-0.7861116006185926,0.8221269240129345,dynamic_fe_extension,306,material_wellbeing,baseline,employment_to_population_ratio,l1_disp_top10_share_z,8
l1_acs_gini_z,0.0030240120587560404,0.0021535237201143666,1.4042158117466406,0.16643604765855036,-0.0013014676324047993,0.00734949174991688,dynamic_fe_extension,305,secondary_wellbeing,baseline,frequent_physical_distress_rate,l1_acs_gini_z,8
l1_acs_gini_z,0.05183118711355068,0.060954610984575594,0.8503243032207428,0.3991984744190663,-0.07059975220407574,0.1742621264311771,dynamic_fe_extension,305,secondary_wellbeing,baseline,mean_bad_physical_days,l1_acs_gini_z,8
l1_acs_gini_z,-0.008082469031297298,0.005273704895020569,-1.5325978969602119,0.13167845488520213,-0.018675017052721246,0.0025100789901266497,dynamic_fe_extension,306,material_wellbeing,baseline,log_rpp_adj_median_hh_income,l1_acs_gini_z,8
l1_acs_gini_z,-0.0011308285437648137,0.0022470959499419807,-0.5032399901722093,0.6170053822318535,-0.005644253589785494,0.003382596502255866,dynamic_fe_extension,306,material_wellbeing,baseline,employment_to_population_ratio,l1_acs_gini_z,8
l1_disp_mean_median_gap_z,0.0033508937411794713,0.0022175411659469285,1.5110852473165168,0.13706149754009217,-0.001103168774141777,0.00780495625650072,dynamic_fe_extension,305,secondary_wellbeing,baseline,frequent_physical_distress_rate,l1_disp_mean_median_gap_z,8
l1_disp_mean_median_gap_z,0.06425271686250215,0.06458785639364986,0.9948111061450143,0.32461831349199943,-0.06547581062801865,0.19398124435302294,dynamic_fe_extension,305,secondary_wellbeing,baseline,mean_bad_physical_days,l1_disp_mean_median_gap_z,8
l1_disp_mean_median_gap_z,0.0044734974429688585,0.004833262326226223,0.9255647926856339,0.3591181027738748,-0.00523439564354614,0.014181390529483858,dynamic_fe_extension,306,material_wellbeing,baseline,log_rpp_adj_median_hh_income,l1_disp_mean_median_gap_z,8
l1_disp_mean_median_gap_z,-3.104130891783082e-4,0.0014077772605921278,-0.22049872367432954,0.8263806583824047,-0.0031380169337488733,0.002517190755392257,dynamic_fe_extension,306,material_wellbeing,baseline,employment_to_population_ratio,l1_disp_mean_median_gap_z,8
l1_disp_top10_share_z,0.7124726476864274,0.8049860442428614,0.8850745336294016,0.38035311859377297,-0.9043894065915179,2.3293347019643726,dynamic_fe_extension,304,secondary_wellbeing,rich,frequent_physical_distress_rate,l1_disp_top10_share_z,13
l1_disp_top10_share_z,13.453580778008135,20.761832447571955,0.6479958265717292,0.5199523500526315,-28.247786968471754,55.15494852448802,dynamic_fe_extension,304,secondary_wellbeing,rich,mean_bad_physical_days,l1_disp_top10_share_z,13
l1_disp_top10_share_z,2.63682183924914,1.8727670109372458,1.407981785160512,0.16532387744865262,-1.1247414054105702,6.39838508390885,dynamic_fe_extension,305,material_wellbeing,rich,log_rpp_adj_median_hh_income,l1_disp_top10_share_z,13
l1_disp_top10_share_z,0.34241433261520066,0.3955669124602743,0.8656293583442431,0.39082806098272505,-0.45210519385244724,1.1369338590828486,dynamic_fe_extension,305,material_wellbeing,rich,employment_to_population_ratio,l1_disp_top10_share_z,13
l1_acs_gini_z,0.002226371161201278,0.0020065333872810623,1.1095609847878511,0.2724963713755485,-0.0018038697575565046,0.00625661207995906,dynamic_fe_extension,304,secondary_wellbeing,rich,frequent_physical_distress_rate,l1_acs_gini_z,13
l1_acs_gini_z,0.03518191646943519,0.05714028031092681,0.6157113034446811,0.5408778431923392,-0.07958771421706853,0.14995154715593892,dynamic_fe_extension,304,secondary_wellbeing,rich,mean_bad_physical_days,l1_acs_gini_z,13
