term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,outcome,outcome_variant,treatment,control_count,weight_var
l1_disp_top10_share_z,0.6059602806201433,0.9805097550771076,0.6180053563796419,0.5393767383345364,-1.363451522443666,2.575372083683953,dynamic_fe_age_std,304,rich,fair_poor_health_rate,fair_poor_health_rate_age_std,l1_disp_top10_share_z,13,NA
l1_disp_top10_share_z,0.8765788529972074,0.7401666862809526,1.1842992521072144,0.24189396779702865,-0.610089689205825,2.36324739520024,dynamic_fe_precision_weighted,304,rich,fair_poor_health_rate,fair_poor_health_rate,l1_disp_top10_share_z,13,fair_poor_health_rate_precision_wt
l1_disp_top10_share_z,0.925020070881946,0.7402667523783864,1.2495766801763957,0.21727201888692466,-0.5618494599928994,2.4118896017567915,dynamic_fe_age_std_precision_weighted,304,rich,fair_poor_health_rate,fair_poor_health_rate_age_std,l1_disp_top10_share_z,13,fair_poor_health_rate_age_std_precision_wt
l1_acs_gini_z,1.9776272042819327e-4,0.0024311636871384916,0.0813448808380987,0.935492432210035,-0.0046853732563823065,0.005080898697238693,dynamic_fe_age_std,304,rich,frequent_mental_distress_rate,frequent_mental_distress_rate_age_std,l1_acs_gini_z,13,NA
l1_acs_gini_z,7.296868640072297e-5,0.0022111035635276905,0.0330010260959037,0.9738051583254028,-0.004368163523921283,0.004514100896722729,dynamic_fe_precision_weighted,304,rich,frequent_mental_distress_rate,frequent_mental_distress_rate,l1_acs_gini_z,13,frequent_mental_distress_rate_precision_wt
l1_acs_gini_z,6.629826141453989e-4,0.0022086528301416275,0.3001751135794782,0.7652880916698139,-0.003773227153302701,0.005099192381593499,dynamic_fe_age_std_precision_weighted,304,rich,frequent_mental_distress_rate,frequent_mental_distress_rate_age_std,l1_acs_gini_z,13,frequent_mental_distress_rate_age_std_precision_wt
l1_acs_gini_z,0.0011974184175455812,0.003000625051079599,0.3990563289854427,0.6915510295184075,-0.004829514370798158,0.00722435120588932,dynamic_fe_age_std,304,rich,fair_poor_health_rate,fair_poor_health_rate_age_std,l1_acs_gini_z,13,NA
l1_acs_gini_z,0.002431204223624487,0.0028659706363091983,0.8483004650582868,0.4003135855042086,-0.0033252672129475682,0.008187675660196542,dynamic_fe_precision_weighted,304,rich,fair_poor_health_rate,fair_poor_health_rate,l1_acs_gini_z,13,fair_poor_health_rate_precision_wt
l1_acs_gini_z,0.0022471592180448013,0.0028590703094439622,0.7859755007150675,0.43559094105815976,-0.0034954525041256106,0.007989770940215213,dynamic_fe_age_std_precision_weighted,304,rich,fair_poor_health_rate,fair_poor_health_rate_age_std,l1_acs_gini_z,13,fair_poor_health_rate_age_std_precision_wt
l1_disp_mean_median_gap_z,1.666610327611095e-4,0.0024855789989164678,0.06705119122496675,0.9468083561267218,-0.004825771314358849,0.005159093379881068,dynamic_fe_age_std,304,rich,frequent_mental_distress_rate,frequent_mental_distress_rate_age_std,l1_disp_mean_median_gap_z,13,NA
l1_disp_mean_median_gap_z,0.003358947728534474,0.002277307865115863,1.4749642681111894,0.14649162934423057,-0.0012151597350027231,0.007933055192071672,dynamic_fe_precision_weighted,304,rich,frequent_mental_distress_rate,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,13,frequent_mental_distress_rate_precision_wt
l1_disp_mean_median_gap_z,0.00328835183934253,0.0022621762971067813,1.453623151983415,0.15229909410663503,-0.0012553629753896535,0.007832066654074713,dynamic_fe_age_std_precision_weighted,304,rich,frequent_mental_distress_rate,frequent_mental_distress_rate_age_std,l1_disp_mean_median_gap_z,13,frequent_mental_distress_rate_age_std_precision_wt
l1_disp_mean_median_gap_z,0.0013577583390392905,0.002676947546526695,0.507203938605732,0.6142415916319885,-0.004019049048152677,0.006734565726231258,dynamic_fe_age_std,304,rich,fair_poor_health_rate,fair_poor_health_rate_age_std,l1_disp_mean_median_gap_z,13,NA
l1_disp_mean_median_gap_z,0.004620979937794841,0.0024092610212011873,1.9180071802643264,0.06083020893250255,-2.1816323976798797e-4,0.009460123115357669,dynamic_fe_precision_weighted,304,rich,fair_poor_health_rate,fair_poor_health_rate,l1_disp_mean_median_gap_z,13,fair_poor_health_rate_precision_wt
l1_disp_mean_median_gap_z,0.004490231723497804,0.0024233708145070406,1.8528867710289736,0.0698049693869672,-3.7725180797935475e-4,0.009357715254974964,dynamic_fe_age_std_precision_weighted,304,rich,fair_poor_health_rate,fair_poor_health_rate_age_std,l1_disp_mean_median_gap_z,13,fair_poor_health_rate_age_std_precision_wt
